num_features,num_tasks,num_roles,has_payment,has_admin,has_mobile,has_realtime,num_integrations,complexity_score,actual_hours
4,24,2,1,1,0,0,4,45.3,439.9
15,90,5,0,0,1,0,2,50.7,762.9
13,91,3,0,1,0,1,0,35.7,666.2
4,24,2,0,1,1,1,3,78.4,610.4
11,44,5,0,0,0,1,3,43.8,463.8
15,105,4,0,1,1,1,1,51.3,799.8
15,105,5,1,1,0,0,4,46.8,917.4
15,90,2,1,1,1,1,5,75.5,956.3
3,12,4,0,1,0,1,0,70.6,324.2
9,36,2,1,1,1,1,5,25.6,476.1
11,66,4,1,0,0,0,5,67.9,856.1
7,28,2,1,0,0,1,1,68.6,476.1
15,45,4,1,1,1,0,1,57.2,576.0
12,48,3,0,0,1,0,3,83.9,711.6
7,42,4,0,1,1,0,0,50.9,565.0
8,56,4,1,1,1,1,1,90.0,819.7
9,63,4,1,1,0,1,2,20.6,542.1
13,39,5,1,0,1,0,5,33.3,508.4
15,60,2,0,1,1,0,4,45.5,815.7
5,15,4,1,1,0,0,1,75.1,446.6
11,55,3,1,1,1,1,0,52.8,587.8
4,16,3,1,1,0,1,0,38.5,349.0
14,70,5,1,0,0,1,0,63.4,748.7
11,55,3,0,1,1,1,0,29.8,610.0
10,30,2,0,0,1,1,2,66.9,479.6
14,98,5,0,1,0,1,4,48.6,890.4
8,32,5,1,0,1,0,5,45.7,498.3
13,65,2,1,1,0,0,3,26.4,619.0
3,9,4,0,0,0,0,4,34.5,262.8
6,24,4,0,0,1,0,1,57.8,401.0
3,12,2,1,0,1,0,1,38.6,281.8
5,30,2,0,1,1,1,4,61.6,493.9
12,36,4,1,0,0,1,3,49.8,495.7
4,24,5,0,0,1,0,0,28.8,249.4
14,70,5,1,1,1,0,5,28.0,614.0
13,91,3,1,1,0,1,2,77.9,736.3
8,48,4,1,1,0,1,0,26.4,540.2
4,12,5,0,1,0,0,4,87.0,339.4
9,45,5,0,1,1,1,0,60.5,527.7
6,24,5,0,0,1,1,0,73.4,343.7
11,77,2,1,0,0,1,5,73.4,726.0
8,40,2,0,0,1,0,1,71.9,565.0
11,44,5,1,1,1,0,2,41.8,548.0
8,56,2,0,0,0,0,5,25.7,416.1
12,72,5,1,0,0,1,3,27.8,665.0
13,91,5,1,0,0,1,4,23.8,823.9
15,60,4,1,1,0,0,3,72.3,938.6
5,20,5,0,1,0,1,5,23.0,439.3
8,56,5,1,1,1,0,3,21.5,603.4
8,32,5,1,0,1,0,1,50.5,435.9
7,35,3,1,0,0,0,4,55.7,494.0
15,75,4,0,0,0,0,2,33.8,463.5
13,39,3,1,1,1,1,5,42.1,509.1
10,30,5,1,1,1,0,2,55.5,480.4
3,15,4,0,0,1,1,4,58.8,480.0
15,45,5,0,1,1,0,0,51.5,575.1
14,42,3,0,0,1,1,4,56.6,420.2
5,25,4,1,1,1,1,5,61.9,606.0
4,20,2,1,1,1,0,2,25.7,286.1
13,52,4,1,1,0,0,2,59.1,545.0
5,35,2,1,1,0,1,2,32.6,396.4
6,30,5,0,0,0,0,0,40.7,314.9
11,77,2,1,0,1,0,1,32.7,557.9
14,98,3,1,0,1,1,5,70.4,1207.2
15,90,3,0,1,1,0,2,67.5,833.5
12,72,5,1,1,1,0,1,76.1,869.7
13,78,4,0,0,1,0,1,39.1,717.7
11,44,5,0,0,1,1,0,49.0,443.2
9,27,4,0,0,1,0,5,65.5,536.9
15,60,3,0,1,1,0,5,52.8,520.4
3,15,3,0,1,0,1,1,41.1,229.8
3,12,5,1,0,0,1,4,57.5,324.9
14,56,4,1,0,1,0,4,49.2,550.4
13,39,4,0,0,1,1,0,64.5,576.4
3,15,2,1,0,0,1,1,23.1,241.0
11,55,3,1,1,0,0,0,70.1,639.1
6,18,3,0,1,1,1,4,53.1,445.9
3,12,4,1,0,1,1,0,76.0,369.7
10,60,4,0,1,1,1,4,38.7,699.7
4,24,2,1,0,1,1,0,25.6,326.9
12,72,3,1,1,1,0,5,80.9,788.5
8,56,5,1,0,0,1,2,55.9,603.7
3,12,5,0,0,0,0,5,45.6,258.8
9,63,2,0,1,1,1,3,73.4,641.7
9,45,4,0,0,0,0,3,56.2,443.8
11,33,4,1,1,0,1,5,84.2,582.2
4,24,3,1,0,1,1,5,24.5,424.4
11,55,4,0,0,1,0,0,89.0,675.8
10,30,4,1,1,0,0,0,41.7,339.5
14,84,5,1,0,0,1,5,25.2,596.4
5,35,3,0,1,0,0,4,30.7,412.5
5,20,4,0,1,1,0,2,33.7,386.3
13,65,2,0,0,0,1,4,22.9,530.8
3,9,2,1,0,1,0,3,82.2,353.8
7,42,3,1,1,1,0,5,24.2,502.1
10,60,5,1,0,1,0,2,80.3,593.3
8,48,3,1,0,1,0,3,28.6,728.6
10,40,3,0,0,1,1,4,49.3,707.0
8,56,4,0,0,1,1,3,81.5,661.8
10,30,2,1,1,0,0,4,44.7,523.9
13,78,4,0,0,1,0,2,70.9,813.0
15,90,4,0,1,0,0,2,58.7,905.4
15,105,4,0,0,0,1,2,75.6,989.6
8,56,4,0,0,1,0,0,22.7,435.7
11,66,3,0,1,1,0,3,89.3,592.0
14,70,4,1,1,1,0,2,43.2,800.5
7,21,5,1,0,0,1,1,56.7,418.8
14,98,5,0,0,0,0,1,21.3,644.6
14,56,5,1,0,0,0,4,42.8,608.9
13,78,5,1,0,1,1,4,44.8,818.6
13,65,5,0,0,1,1,1,85.9,574.0
7,35,3,1,1,1,1,4,85.4,714.4
4,28,5,1,1,0,1,0,40.1,348.1
14,42,4,1,1,1,0,1,78.0,619.6
7,28,2,0,0,0,0,5,36.3,419.1
4,24,4,1,0,0,0,4,88.5,570.1
10,60,3,1,1,1,0,0,65.7,818.4
6,42,2,0,1,0,0,3,75.2,611.6
7,21,2,1,0,1,1,3,89.2,699.3
11,77,5,0,1,1,0,0,43.1,668.8
14,56,2,1,1,0,0,4,79.9,557.7
9,54,4,0,1,0,0,1,53.4,542.9
9,36,5,1,1,1,0,2,65.8,574.3
14,56,2,0,1,1,0,3,68.0,869.0
15,75,2,1,1,0,0,1,53.5,598.3
10,70,4,1,1,0,0,5,72.8,822.7
10,70,4,0,0,0,0,4,57.6,623.8
5,25,5,0,0,1,0,4,51.2,455.3
9,54,2,1,1,0,1,2,77.2,709.3
14,56,2,0,1,1,0,4,89.6,799.3
10,30,4,1,0,0,1,2,89.5,536.1
9,54,5,1,0,0,1,0,32.5,403.5
14,56,2,0,1,1,1,4,46.5,632.4
6,24,5,1,0,1,0,5,73.6,656.3
12,36,3,0,0,0,0,3,61.8,466.3
14,42,3,0,1,1,0,4,35.2,529.8
11,55,3,1,1,0,1,1,89.0,689.3
11,44,5,1,1,0,0,5,67.5,589.6
8,48,4,1,1,0,1,3,32.9,528.0
11,66,3,0,1,0,1,0,59.4,759.0
5,30,3,1,0,1,0,3,79.3,541.2
4,28,3,0,1,1,0,0,33.2,368.9
11,44,5,0,1,1,0,1,85.6,479.3
14,42,5,0,0,1,0,4,42.5,482.2
13,65,4,1,1,1,1,0,76.2,912.5
14,84,4,0,1,1,1,0,59.4,819.3
7,49,5,1,0,0,1,1,46.6,561.8
6,36,4,1,1,1,1,1,71.3,579.8
11,66,3,0,0,0,0,0,48.9,578.4
13,52,2,0,0,0,1,2,24.2,343.9
10,60,2,0,1,0,0,4,70.6,489.2
11,55,2,1,0,0,0,4,30.4,555.4
8,40,5,0,1,1,1,4,37.0,627.9
14,56,4,0,0,0,1,3,46.4,434.1
14,56,2,1,1,1,0,4,84.3,809.2
6,24,5,1,0,0,1,4,59.4,605.0
8,24,3,0,1,0,1,1,59.5,430.9
12,72,4,1,0,0,1,0,26.8,586.4
12,84,5,1,0,1,1,3,36.0,833.6
11,66,5,0,1,0,1,1,69.9,737.6
14,56,5,1,1,0,0,0,86.0,697.7
10,50,4,0,0,0,0,3,51.4,427.1
3,9,4,0,1,1,0,2,49.0,309.0
15,45,3,0,1,0,0,2,41.1,433.4
9,45,5,1,1,0,1,2,86.1,664.8
14,84,3,1,0,0,1,0,86.4,747.4
15,75,5,1,1,0,1,2,62.2,911.7
14,56,5,1,0,1,1,2,71.4,522.9
15,60,4,1,1,1,1,0,85.2,553.2
6,42,3,0,1,0,1,2,78.2,735.1
15,90,5,0,1,0,1,5,30.8,867.0
9,54,2,1,1,1,1,4,22.6,757.8
15,105,2,0,0,1,0,5,62.9,909.8
12,72,4,1,0,0,0,2,35.5,606.3
14,98,3,1,1,1,1,5,61.2,817.7
11,44,4,0,1,0,1,3,84.4,779.6
14,56,4,1,1,1,0,4,53.8,793.1
10,30,5,1,1,0,1,0,76.7,627.8
13,39,3,0,0,0,1,4,49.8,565.0
10,40,5,0,0,1,1,0,71.6,611.1
9,54,2,0,0,1,0,4,27.1,467.7
11,44,4,1,0,1,0,2,66.9,363.4
8,56,5,1,0,1,1,3,63.2,718.7
13,65,2,0,1,0,0,2,28.2,508.3
9,54,3,1,1,0,1,5,57.6,716.9
13,52,3,1,1,0,0,2,78.9,510.1
3,18,3,0,1,1,1,5,54.4,374.7
14,84,5,0,0,0,0,2,22.3,612.6
15,90,5,0,0,1,1,4,77.6,1035.6
3,18,3,1,0,0,1,0,51.5,279.1
10,30,3,0,1,1,0,4,29.7,519.7
6,24,2,1,1,0,1,5,40.5,297.5
11,33,3,1,0,1,0,5,80.6,514.4
6,24,4,0,1,1,0,4,64.3,442.1
4,12,5,1,1,1,1,2,60.7,402.2
15,45,5,1,0,1,0,3,77.7,562.4
7,35,3,1,1,0,0,0,63.8,478.6
10,30,2,0,1,1,0,3,34.2,409.8
13,65,3,1,0,1,1,0,46.0,609.4
13,52,2,1,1,0,1,5,26.4,620.2
4,16,3,1,0,0,1,0,89.2,458.9
9,36,5,0,0,1,0,5,76.4,646.7
7,28,5,0,0,0,0,4,65.5,461.3
10,50,3,0,1,1,0,0,82.8,674.8
14,84,4,1,1,0,0,2,65.1,852.0
6,42,4,0,1,0,0,5,47.4,423.9
15,60,5,1,0,0,1,5,61.6,545.8
11,33,4,1,0,1,1,2,58.2,574.8
15,45,2,0,0,1,0,0,84.6,671.2
15,90,4,1,1,1,0,5,57.6,839.5
7,21,3,0,1,1,0,2,68.9,420.8
14,56,2,0,0,1,0,3,62.9,761.2
13,52,2,0,0,0,0,3,86.7,663.6
11,77,4,0,1,0,1,5,82.0,852.3
15,90,4,0,1,0,1,3,55.8,787.6
3,18,3,1,0,1,0,4,67.2,556.2
3,9,2,0,0,1,1,3,84.4,514.5
5,15,5,0,1,0,1,5,42.4,389.2
4,28,2,0,0,0,1,0,81.4,365.5
7,35,4,0,1,0,1,1,40.4,433.0
6,36,4,1,0,0,0,0,85.3,388.8
3,12,4,0,1,0,1,5,70.9,486.9
6,36,5,0,0,1,0,0,84.5,588.8
11,66,4,1,0,0,0,5,77.4,871.9
9,36,3,1,1,1,1,5,78.2,751.5
8,40,5,1,0,0,0,1,74.6,479.8
5,30,5,1,1,0,1,1,51.6,434.8
10,50,2,0,0,1,0,1,78.5,591.7
6,30,5,0,1,1,0,0,86.6,565.9
10,70,3,0,1,0,0,0,20.8,624.4
5,20,5,1,0,1,0,0,89.8,306.6
6,36,3,0,1,0,0,3,23.5,418.7
14,84,5,0,1,1,0,2,35.0,680.3
5,25,4,1,0,0,0,5,40.7,324.5
3,9,4,1,0,1,0,5,81.9,522.1
11,44,2,1,1,1,1,2,83.9,605.0
5,15,4,0,0,1,0,3,57.1,365.4
15,105,3,0,0,0,0,2,57.4,884.3
15,60,5,1,0,0,0,4,42.3,447.7
14,70,2,1,0,0,1,4,41.6,630.9
6,42,3,0,1,0,1,4,34.1,481.2
5,25,3,1,0,0,0,4,69.3,479.0
11,55,2,1,1,0,1,2,42.6,626.3
5,30,5,1,0,1,0,5,61.2,569.9
14,70,3,0,0,1,0,1,62.2,759.6
15,105,3,0,1,0,1,5,25.4,782.7
13,39,4,1,0,1,0,1,68.5,614.5
8,40,2,0,0,1,1,5,49.4,596.2
9,45,5,0,1,0,0,3,25.2,482.6
3,15,2,1,1,0,0,2,31.9,240.5
11,33,4,1,0,1,0,4,82.3,708.7
5,15,2,1,0,0,1,5,58.8,480.0
13,65,4,0,0,0,1,4,58.5,600.2
10,40,2,1,0,1,0,2,77.7,529.9
4,12,3,0,1,0,1,0,41.6,230.0
9,54,5,1,0,1,0,2,82.0,622.2
7,42,5,1,0,1,0,1,72.7,654.7
13,39,2,1,1,0,0,3,77.3,491.0
10,70,3,1,1,0,1,5,22.4,727.9
12,84,3,0,1,0,0,1,76.6,870.4
13,78,3,0,1,1,0,0,47.2,783.5
9,63,4,1,1,0,1,0,49.0,705.1
15,45,2,0,1,1,1,2,46.8,656.1
10,70,5,0,0,1,1,1,63.3,669.1
9,45,3,0,1,1,1,0,43.7,453.4
15,75,4,1,1,0,0,1,41.0,656.3
8,40,5,0,0,1,0,3,71.9,415.7
15,105,4,0,0,0,1,5,55.5,1075.2
12,36,3,0,0,0,0,0,52.0,453.8
8,32,4,1,1,1,0,5,22.1,402.8
5,30,4,1,0,1,0,2,21.9,430.1
3,12,3,0,0,0,1,5,48.7,406.7
15,45,5,0,0,0,0,2,62.6,503.8
7,35,5,1,1,1,1,1,52.7,480.3
9,63,2,0,1,1,1,5,27.6,494.9
4,20,4,1,1,1,1,1,30.5,403.7
15,105,5,1,0,0,1,2,38.2,574.1
9,54,5,0,0,1,0,5,57.4,676.1
13,65,4,0,0,1,0,3,29.0,396.4
7,49,3,1,0,0,1,1,72.1,540.1
8,40,4,1,1,0,1,0,80.6,732.2
12,84,2,1,0,0,1,4,40.9,966.7
5,20,4,1,1,0,1,5,32.6,436.9
4,24,4,0,1,0,0,3,39.1,343.6
15,60,5,0,0,1,1,3,50.0,586.4
10,60,2,0,0,1,0,2,73.0,650.2
3,12,3,1,1,0,0,3,55.2,355.7
7,28,2,0,1,1,1,5,56.4,452.3
13,52,4,1,1,0,0,3,21.3,484.0
6,24,3,0,0,0,1,5,65.5,578.6
7,49,2,0,0,0,0,5,28.1,485.7
10,60,2,1,1,0,0,5,68.0,825.8
4,28,4,0,1,0,0,2,28.0,319.8
4,24,3,0,1,0,1,5,48.7,473.5
6,36,4,0,0,0,0,0,78.5,523.6
13,78,3,0,0,0,1,5,36.2,767.0
10,30,2,0,0,1,1,5,41.9,466.5
14,42,2,0,0,0,0,2,45.0,336.4
14,42,4,1,0,0,1,3,87.4,679.3
7,42,5,1,0,0,0,5,70.8,746.1
4,24,5,1,0,1,1,4,22.0,386.7
13,52,5,1,0,1,1,0,24.4,508.4
13,91,3,1,0,1,0,3,44.2,807.5
13,78,3,0,0,0,1,3,80.9,907.8
6,30,4,0,0,1,1,1,25.5,390.1
10,70,5,0,1,1,1,0,88.6,810.3
9,54,2,0,0,1,0,5,67.0,641.3
8,40,2,0,1,1,1,5,66.0,628.0
15,60,2,1,1,1,1,5,27.4,633.1
5,30,3,1,0,1,0,1,28.5,404.2
15,60,4,0,1,0,0,3,52.0,546.2
12,84,3,1,0,0,1,4,53.8,526.8
5,35,3,0,0,1,1,4,81.7,594.4
9,63,3,1,1,1,1,3,76.3,924.6
14,98,4,1,0,0,0,4,70.0,1037.7
13,65,3,0,1,0,1,4,53.6,540.1
9,63,4,1,0,0,0,3,30.2,500.6
13,39,3,1,0,1,1,1,78.8,587.1
15,105,2,1,1,0,0,5,65.3,861.9
9,36,4,0,1,1,1,5,41.9,529.2
7,28,5,0,1,0,0,2,51.4,384.2
13,39,3,0,0,1,0,3,39.5,454.0
7,21,4,1,0,0,0,2,61.8,415.1
15,105,4,1,1,0,1,4,35.4,921.7
11,44,5,1,0,1,0,1,66.4,608.1
8,40,4,0,1,0,0,5,44.2,489.0
12,48,2,1,1,0,1,2,57.8,724.5
7,21,4,1,1,0,1,5,33.5,258.6
5,35,2,0,0,0,1,0,34.4,332.3
14,84,2,0,0,1,1,0,26.1,841.4
11,33,3,1,1,1,1,5,48.3,634.9
8,24,5,0,0,0,0,5,79.4,406.4
7,35,2,1,1,1,1,5,22.2,587.9
5,35,3,0,1,1,0,2,67.4,660.3
14,70,2,0,0,0,0,4,61.8,574.1
11,77,2,1,0,1,0,3,83.4,899.6
5,20,4,0,0,0,0,4,52.3,314.4
11,33,4,0,1,0,0,5,60.6,555.8
13,52,2,1,0,0,1,3,51.5,557.0
12,60,3,1,1,1,0,0,41.9,653.4
13,78,4,1,0,1,1,3,51.2,612.7
15,75,5,0,0,0,1,1,82.4,802.0
13,39,2,0,0,1,0,0,58.6,578.0
11,77,5,0,1,1,0,4,71.3,795.5
11,33,5,1,0,0,0,4,29.8,450.3
5,20,3,1,1,0,0,3,36.2,345.2
13,52,4,1,1,1,0,0,88.6,790.7
8,24,4,1,0,1,1,2,61.1,511.0
7,42,3,1,1,1,1,3,82.1,682.8
3,21,3,1,0,0,0,4,65.0,430.9
8,56,2,0,1,1,0,3,67.3,741.3
10,40,3,1,0,0,0,1,60.1,528.7
3,21,3,0,0,1,0,4,87.1,598.2
12,84,2,1,0,0,1,4,89.5,958.1
9,63,3,0,1,0,1,3,61.8,627.5
4,16,5,1,0,0,0,1,56.6,382.3
5,35,2,0,1,0,0,0,53.8,356.4
5,35,2,1,1,1,0,5,57.1,611.8
15,90,4,0,1,0,1,3,73.6,1104.1
4,20,5,1,0,0,0,4,56.6,333.5
6,30,5,1,0,0,1,5,61.0,498.8
7,49,5,1,1,1,0,3,58.6,592.7
11,77,5,1,1,1,1,5,29.7,764.6
13,39,3,1,0,0,0,4,48.0,430.3
14,42,3,1,0,0,0,3,84.8,686.8
9,27,2,1,0,1,0,4,22.6,263.8
12,84,4,0,0,1,1,0,34.1,896.6
13,91,4,0,0,0,0,5,22.5,688.7
5,15,4,1,1,1,1,4,34.0,418.6
3,9,2,1,1,1,1,1,62.4,471.1
12,36,4,0,1,0,0,4,40.6,573.4
4,28,4,1,1,1,1,1,73.0,658.6
10,70,2,1,0,1,0,3,64.4,727.7
6,24,4,1,1,0,1,1,40.1,307.2
8,24,3,1,1,1,0,4,38.8,522.9
14,56,5,0,0,0,1,1,36.0,560.1
8,32,2,0,0,1,0,4,87.1,432.3
10,50,4,1,1,1,0,4,39.6,634.9
3,21,5,1,0,1,1,5,74.3,661.2
10,30,5,1,0,0,0,3,60.7,404.9
7,28,4,0,1,1,1,2,32.9,499.1
9,36,5,1,1,1,1,3,32.6,593.7
6,18,4,0,1,1,0,1,76.0,510.3
14,56,5,0,0,1,1,1,89.7,785.2
14,70,5,1,1,0,1,0,68.3,622.8
3,12,4,1,0,1,1,2,45.3,249.0
7,35,2,1,0,1,0,4,60.3,480.0
13,91,3,1,1,1,1,5,51.3,1111.2
10,40,3,1,1,1,0,0,31.3,514.9
6,30,4,1,1,1,1,3,74.7,755.7
11,66,5,0,0,0,0,5,36.4,526.0
7,21,3,0,1,0,0,0,85.6,397.2
15,90,2,0,1,0,0,5,85.2,913.2
9,45,3,0,1,1,0,1,56.9,561.2
8,40,5,1,1,1,0,5,57.8,645.2
12,84,5,1,1,1,1,4,35.9,927.8
9,45,3,1,0,0,0,2,40.1,491.8
11,33,5,1,1,0,1,2,61.8,546.8
6,36,5,1,0,0,1,3,35.4,358.2
4,24,3,1,1,1,1,1,79.7,592.0
13,78,5,1,1,0,1,0,30.7,740.1
11,33,3,0,1,1,0,5,50.7,553.9
3,18,3,1,1,1,1,2,52.5,461.9
15,45,4,0,0,0,1,3,25.0,379.6
7,42,2,0,0,1,1,1,71.6,582.4
3,12,5,0,0,1,1,5,87.3,539.3
14,42,2,1,1,1,0,2,82.1,640.6
13,52,2,0,1,1,0,1,75.6,564.6
6,18,2,1,0,1,0,1,31.0,292.0
4,28,4,0,0,1,0,5,57.5,540.1
8,56,4,1,0,0,1,2,70.7,718.4
7,21,5,1,1,1,0,4,33.1,361.3
7,49,3,0,0,1,1,2,57.9,704.8
10,30,5,0,0,1,0,2,70.5,432.4
9,36,5,0,1,1,1,5,42.5,458.5
4,28,2,0,0,0,0,1,27.5,269.1
13,78,5,1,0,1,0,4,70.2,868.6
3,12,5,0,1,0,1,4,72.0,502.0
15,45,4,0,0,1,0,1,87.2,499.3
4,12,3,1,0,0,0,4,63.8,402.5
9,27,4,1,1,0,0,1,58.5,523.7
11,55,3,1,1,1,1,2,48.9,545.4
8,56,3,0,1,1,1,3,51.3,522.4
9,27,2,1,0,0,1,0,41.0,373.5
3,15,3,0,0,1,1,1,29.7,366.6
8,56,3,0,1,1,0,4,48.0,769.8
14,70,5,0,1,0,1,0,71.2,614.3
12,72,2,0,1,1,1,3,85.1,1017.7
14,98,2,1,0,1,0,2,57.8,1049.0
5,25,3,0,0,1,1,4,60.3,545.5
15,90,3,0,1,0,1,4,72.2,956.9
11,66,4,0,1,1,0,1,53.7,699.1
12,48,3,0,0,1,1,2,67.9,699.0
12,36,2,1,1,1,1,1,42.5,508.9
7,28,4,1,0,1,0,1,34.0,377.8
8,32,2,0,0,0,0,2,21.0,277.7
10,60,2,1,0,0,0,4,56.6,586.8
7,49,5,0,0,1,0,2,31.9,452.8
12,60,2,1,0,0,1,5,39.0,782.9
13,65,2,0,1,1,0,3,55.6,640.1
10,70,2,0,0,1,0,0,37.3,405.9
11,55,4,1,1,0,0,2,67.9,588.7
11,55,2,1,1,0,1,1,30.6,596.3
9,36,2,1,0,1,0,4,30.7,619.4
8,48,3,0,0,0,0,2,68.2,490.9
11,44,5,0,0,1,0,4,57.3,545.8
5,15,4,1,1,1,1,5,85.4,531.0
13,65,3,0,0,0,0,0,73.4,555.1
12,84,3,0,0,0,1,0,68.2,682.0
10,40,5,1,0,1,1,3,29.6,510.6
15,45,4,1,0,0,0,0,32.4,421.8
10,70,5,1,1,0,1,3,74.3,620.2
14,70,5,0,0,1,1,0,81.4,621.9
6,42,5,0,1,0,0,2,50.8,560.0
7,42,3,1,1,0,0,3,78.1,502.2
10,30,2,0,0,1,1,2,51.6,494.1
14,56,5,0,1,1,0,5,71.3,850.1
4,12,5,1,0,1,0,3,58.5,427.3
8,56,3,0,0,0,0,3,41.6,518.3
14,84,4,0,0,0,0,0,63.6,692.5
10,70,2,1,0,0,1,3,48.7,794.3
4,28,2,0,1,0,0,1,30.4,301.9
3,21,4,1,0,0,0,3,89.6,463.5
5,25,3,1,1,0,0,2,42.6,467.9
15,90,2,1,1,0,0,5,80.2,775.3
8,56,5,0,0,0,0,4,71.1,423.3
10,70,4,1,1,1,1,1,63.0,535.9
10,70,5,1,0,0,1,1,20.1,682.8
4,16,5,1,0,1,1,4,76.4,531.5
6,18,3,1,1,0,1,2,55.5,406.4
13,65,4,1,0,0,0,2,78.4,705.4
13,78,5,0,0,1,0,5,52.2,920.3
10,60,2,1,1,0,0,4,68.0,531.9
15,75,2,0,1,0,1,3,63.9,832.0
9,36,2,1,1,0,1,3,26.1,371.7
6,30,5,1,0,1,0,0,46.2,459.6
4,24,2,1,0,0,1,3,71.3,483.9
11,55,4,0,0,0,0,5,22.6,364.8
4,12,4,0,0,1,1,0,27.2,291.1
15,75,2,1,0,1,0,1,40.1,511.9
13,39,4,0,0,1,0,0,87.1,526.4
11,77,2,0,1,1,1,1,86.0,916.2
5,15,4,1,1,0,0,0,53.0,264.0
13,39,2,1,0,0,1,3,32.5,372.7
14,84,4,1,1,0,0,3,59.7,711.5
4,24,2,1,1,1,1,1,86.3,698.1
7,35,5,0,1,1,1,3,22.1,558.1
10,30,4,1,1,0,1,2,62.3,526.4
14,42,4,0,1,1,1,4,48.9,613.1
12,48,3,1,1,0,1,1,77.0,497.7
9,63,4,0,0,0,1,0,61.5,508.2
10,50,2,1,0,1,1,0,61.9,566.6
9,45,5,0,0,0,0,4,83.2,472.0
